NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
klystersetting	bahtačoalledoiddusa addin		bahtačoallecirgehaga addin			peräruiskeen anto	*peräruiskeen addin			klystaráhkadeapmi	seahkalas ruvdna	
pessar	pessára				pessaari				pessára	pessára		
pessimisme	pessimisma					pessimismi				beahttámuš	ahtanuššan	
væskeskjema	golggustabealla					nestetaulukko	bassantabealla			golgosaš skovvi	basadangárri	
ph	ph					pH	happamuus			ph	pH	
PICO-skjema	PICO-skovvi					PICO-taulukko				PICO-skovvi	Pico-tabealla	
pigment	pigmeanta					pigmentti				pigment	pigmeanta	
pigmentforandring	pigmeantarievdádus					pigmenttimuutos				pigmentarievdan	pigmentarievdan	
kontaktlinse	kontáktalinsa					piilolinssi				gulahallanliekta	čiegus linssa	
piping	biipen					piippaus				biiggodeapmi	biiggáš	
score	čuoggát					pisteet				čuoggát	čuoggát	
skår	čuoggáid addin					pisteytys				skárri	čuoggát	
stikkskade	čuggenbárti					pistovamma				suohpahanvahát	čottanjálbmi	
lengdesnitt	guhkkodatčuohpastat					pitkittäisleikkaus				guhkkodatcealkka	guhkitáigge čuohpadeapmi	
lengdevekst	guhkkodatšaddu					pituuskasvu	guhkkodatšaddu			guhkkodatlassáneapmi	guhkkodatlassáneapmi	
plasmaprotein	plasmaproteiidna					plasmaproteiini	#varragolggus#proteidna			plasmaproteiidna	plasmaproteiidna	
plasmavolum	plasmavoluma					plasmatilavuus plasmavolyymi	#varragolggus#daddjásvuohta varragolggosvoluma			plasmahivvodat	plasmadoaimmahaga plasmaválljodat	
stikklaken	doarisláhkán					poikkilakana				dákteriggeášši	rasttildeaddji	
plukking	čoaggin					poimiminen	nyppiminen			čoaggin	viežžan	gaskit
forbrenningsvæske	boaldingolggus					polttoneste	boaldensiedja			buollinčáhci	boaldámušgálvu	
anstrengelsesinkontinens	ražastaninkontineansa					ponnistusinkontinenssi	rahčamušinkontineansa			áŋgiruššama botkehus	rahčamušaid konfirmašuvdna	
stressinkontinens	streassainkotineansa					stressi-inkontinenssi	rahčamušinkontineansa			streassahisvuohta	rahčamušaid konfirmašuvdna	
pasientvurdering	patientaárvvoštallan					potilasarviointi	#buohcci *hoidotarpeen evalueren			divššohasčielggadeapmi	buohcci dikšundárbbu árvvoštallan	
pasientintegritet	patientaintegriteahtta					potilaan integriteetti potilaan loukkaamattomuus	#buohcci *integriteetti #buohcci 			pasieantaintegritehta	pasientta integritehta pasientta loavkideapmi	
pasientautonomi	patientaautonomiija		buohcci iešmearridanvuoigatvuohta			potilaan itsemääräämisoikeus	#buohcci iešmearridanvuoigatvuohta			pasieantaautonomiija	pasieantta iešmearridanvuoigatvuohta	
pasienthistorie	patientamuitalus		buohccimuitálus			potilaskertomus	#buohcci muitalus			pasieantahistorjá	buohcci muitalus	
brukerrettighet	geavaheaddjiriekti					käyttäjäoikeus	#buohcci rievttit			geavaheaddjivuoigatvuohta	buohcci vuoigatvuohta	
pasientmedvirkning	patienta oasselasttin					potilaan osallistaminen 			pasieantaváikkuhus	divššohasa oassálastin		
brukermedvirkning	geavaheaddji oasselasttin					käyttäjän osallistaminen	#buohcci searvat dikšui			geavaheaddjiváikkuheapmi	pasientta oassálastin dikšumis	
sykdomshistorie	buohccihistorjá					sairauskertomus	#buohcci čilgehus healsaproblemain			buohcuvuođahistorjá	pasieantta čilgehus dearvvašvuođaváttisvuođaid birra	
pasientoppfølging	patienta čuovvoleapmi					potilaan seuranta	#buohcci čuovvuleapmi			pasieantačuovvuleapmi	pasieantta čuovvuleapmi	
pasientopphold	patientan orrun					potilaana olo	#buohcci eksisteansa			divššohasorrun	buohccin orrut	
brukerombud	buohcciáššeolmmoš		buohcciáittardeaddji			potilasasiamies	#buohcci#ásiialmmái			geavaheddjiidáittardeaddji	buohcceáššeolmmái	
pasienteksempel	patienstaovdamearka					potilasesimerkki	#buohccieksempel			buohcciovdamearka	buohcciovdamearka	
pasientomsorg	patientafuolahus					potilashoito				divššohasaid dikšu	divššohasmátki	#buohccidikšu
pasientinformant	patientainformántta					potilasinformantti	#buohcciinformánta			pasieantainformánta	buohcceviessogirji	
pasientorganisasjon	patientaorganisašuvdna					potilasjärjestö	#buohcciorganisašuvdna			pasieantaorganisašuvdna	pasieantaorganisašuvdna	
journalopplysning	journáladiehtu, buohccimuitalusdiehtu					potilaskertomus selostus	#buohccimuitalussii *kirjattu diehtu			journálaid dieđut	čállojuvvon journálas	
pasientjournal	patientajournála, patientamuitalus, buohccimuitálus					potilaskertomus	#buohccimuitalus			buhcciidjournála	journála	
pasientjournalsystem	patientajournálavuogádat, patientamuitalusvuogádat					potilaskertomusjärjestelmä	#buohcci#muitalusvuogádat			divššohasjournálavuogádat	pasieantajournálavuogádat	
pasienterfaring	patientavásáhus, buohccivásáhus					potilaskokemus	#buohccivásihus			pasieantavásáhus	buhcciid vásáhus	
pasientkontakt	patientakontákta, buohccikontákta					potilaskontakti	#buohccikontákta			buhcciidoktavuohta	buhcciidoktavuohta	
pasientinformasjon	patientainformášuvdna, buohcciinformášuvdna					potilastiedoite, potilastieto	#buohccibagadus			pasieantadieđut	pasieantabagadus	
pasientproblem	patienta váttisvuohta, buohcciváttisvuohta					potilasongelma	#buohcciproblema			pasieantaváttisvuohta	buohcciváttisvuohta	
pasientopplæring	patientaoahpahus, buohccioahpahus					potilasopetus	#buohccioahpahus			buhcciidskuvlejupmi	divššohasmátki	
sykehusskjorte	buohccibáidi					sairaalapaita	#buohccibáidi			buohcceviessogákti	buohcciviessu	
pasientrolle	patientarolla, buohccirolla					potilasrooli	#buohccirolla			divššohasrolla	buohccerolla	
pasientopplysning	patientadieđáhus					potilastiedoitus	#buohccidieđut			pasieantadieđut	pasieantadieđut	
journalføring	journála čállin					potilastietojen kirjaus	#buohccidieđuid 			journála	journála mii čájeha pasieantadieđuid	
pasienttrygghet	patienta dorvvolašvuohta, buohccidorvvolašvuohta					potilasturvallisuus	#buohccisihkarvuohta			pasieantasihkarvuohta	buohccesihkkarvuohta	
pasientsikkerhetsprogram	patienta dorvvolašvuođaprográmma, buohccidorvvolašvuohtaprográmma					potilasturvallisuusohjelma	#buohcci#sihkarvuohtaprográmma			pasieantasihkarvuođaprográmma	pasieantasihkkarvuođaprográmma	
pasientskadeerstatning	patientavahátbuvttadus, buohcciváhatbuhtadus					potilasvahinkokorvaus	#buohcci#vahátbuhtadas			pasieantavahátbuhtadus	buhcciid vahátbuhtadus	
prioriteringskriterium	prioriterenkriteara, vuoruhankriteara					priorisointikriteeri	ovdasadjekriteara			vuoruhaneaktu	vuoruhankriteara	
projeksjon	projekšuvdna					projektio	sijoittaminen			proješuvdna	prošeakta	
pronasjon	pronašuvdna					pronaatio	sisäänkierto			pronossašuvdna	omd	
prosesskriterium	proseassakriteara					prosessikriteeri	proseassakriteara			proseassaeaktu	proseassakriteriija	
protese	protesa		dahkulahttu			proteesi	dahkulahttu			protesa	proteasta	
proteintilskudd	proteiidnalassi					proteiinilisä	#proteidnalassi			proteiinnalaš lasáhus	proteiinnalaš lasáhus	
proteinkvalitet	proteiidnakvalitehta					proteiinin laatu	#proteidna dássu			proteiinna kvalitehta	proteiinna kvalitehta	
proteinmangel	proteidnaváili					proteiinivaje				proteiidna váilivuohta	proteiidna váilivuohta	
pubertetsstadium	puberteahttaceahkki				puberteettivaihe				rávásmanahki	rávásmanahki		
påkledd	gárvodan					puettu				gárvvis	gárvvis	
talevanske	hállanváttu, hupmanváttu					puhevika				hupmanváttisvuođat	hupmanváddu	
taleevne	hállanmáhttu; hupmanmáhttu					puhekyky	hupmagálga			hállannákca	hállannákca	
telefonveiledning	telefovdnabagadallan					puhelinohjaus	telefovdnabagadallan			telefuvdnabagadus	telefuvdnastivra	
logoped	logopeda, hállanterapevta; hupmanterapevta			logopeda		puheterapeutti	hupmaterapevta			logopeda	hupmanterapevta	
rammefaktor	rámmafáktor					puitetekijä				rámmafáktor	rámmafákta	
oppgulp	čollen					pulautus				soahpameahttun	váilevašvuohta	
flaskekost	boahtalkusta, boahtalbiepmu	£				pulloharja pulloravinto	bohtalkusta			borramušgálvu boahtaliin	bohttágárri	
pulstelling	pulsa mihtideapmi, ravkasa mihtideapmi					pulssin mittaus	ravkasa mihtideapmi			buolaš	pulsaárvomearri	
pumpeevne	bumpennákca					pumppauskyky				bumpefápmu	bumpenvejolašvuohta	
pumpefunksjon	pumpendoaibma					pumppaustoiminta				bumpefunkšuvdna	bumbbadoaibma	
pumpekraft	pumpenfápmu					pumppausvoima				bumpefápmu	bumpefápmu	
veiingstest	vihkkenteasta					punnitustesti				vihkangeahččaleapmi	deaddostávval	
bufferteori	bufferteoriija		dusttehanteoriija			puskuriteoria				buffa teoriija	čujolašvuohtateoriija	
buffervirkning	buffer-váikkuhus		dusttehanváikkohus			puskurivaikutus				buffer-váikkuhus	dušše čujolaš váikkuhus	
bedøvelse	jámiheapmi				puudutus	puudutus			áŧestus	váilevašvuohta		
skittentøysekk	duolvabivttasseahkka					likapyykkipussi				duolbas bivttasveaskku	basadangárri	
besvimelse	jámálgit		meanahuvvat, galmmastuvvat			pyörtyminen	jámálgit			vuovssadeamit	joraheapmi	
rullestolrampe	juvlastuolloráhppa					pyörätuoliramppi  pyörätuoliluiska	juvlastovlastealli  			juvlastuollorámma	juvlastuollolámppa juvlastuollolámpas	
rusmiddelbruk	gárrenávnnasgeavaheapmi					päihteiden käyttö	*päihteiden atnin			gárrenávnnasgeavaheapmi	gárrenmirkogeavaheapmi	
vakttelefon	fáktatelefovdna					päivystyspuhelin	fáktatelefovdna			váktatelefovdna	fáhkkatelefuvdna	
dagvakt	beaivevuorru					päivävuoro	beaivevuorru			beaivefákta	beaivevuorru	
hovedmåltid	váldomális, váldobiebmu		váldoborramuš			pääateria	oaivemális			váldomihttu	váldobiebmu	
hovedkomponent	oaivekomponeanta					pääkomponentti pääosatekijä	oaivekomponeanta #válduoassi#dahkki			váldooassi	váldooassi	
hovedkriterium	oaivekriteara					pääkriteeri	oaivekriteara			váldoeaktu	váldokriteara	
halsmuskel	čeabetdeahkki					päänkiertäjälihas				čagalduhttin	oaiveskálžžu	
hodeende	oaivebealli					pääpuoli	oaivebealli			hui deaŧalaš	váldooassi	
beslutningsforum 	mearridanforuma					päätöksentekofoorumi	#čovdojupmi#dahkuforum			mearridanforum	mearrádusdahkanforum	
beslutningsstøtte	mearridandoarjja		mearridanduvdda			päätöstuki	čovdojupmeduvdda			mearridandoarjja	mearridandoarjja	
hodeskade	oaiveváddu					päävamma	oaiveveaidni			oaivevahát	oaivevahát	
husstøvmidd	gavjaširrá					pölypunkki	dopmoširrá			dušše viessobákti	bumbbášbáiki	
grensesetting	rájáid ásaheapmi				rájiid ásahit	rajojen asettaminen		rádjebidjan	rájáid bidjan			
blæreskylling	ráhkkodoidin		gužžaráhkkodoidin			rakkohuuhtelu  virtsarakon huuhtelu	#ráhkku#doidildeapmi gužžaráhku  #doidildeapmi	čáhcebohcci	čáhcebohcci čáhcebohcci čáhcebohcci	ráigi vuolledábiin	gožžaráhku vuoššan gožžaoari vuoššan	
blærekateter	ráhkkokatehtár		gužžaráhkkokatehtár			rakkokatetri	#ráhkku#katehtár	njuoratmánnákatehterat	njuoratmánnákatehter	gožžaráhku kátta	rakkatetriija	
blæremuskulatur	ráhkkodeahkit					rakkolihakset	ráhkkooaččit	njuoratmánnálihkadus	njuoratmánnálihkadusat	goaŧŧočeabetmuskultuvra	goaŧŧočeabetmiella	
blæremuskel	ráhkkodeahkki					rakkolihas	ráhkkooažži	njuoratmánnálihkadus	njuoratmánnálihkadus	gožžaráhku muskula	rakŋuhearvvaš	
sædblære	skoavhleráksá		skohpalasráksá			rakkularauhanen	skoavhleráksá	sieđgavesikula	follikulára	siemagolgosbuozza	rakŋuhearvvaš	
blærevegg	ráhku seaidni					rakon seinämä	ráhku seaidni	njuoratmánná seinni	njuoratmánná seinni	gožžaráhku seinni	rakŋuheaidni	
blærefunksjon	ráhku doaibma					rakon toiminta	ráhku doaibma	njuoratmánná doaibma	njuoratmánná doaibma	cystafunkšuvdna	raksa doaibma	
blæredysfunksjon	ráhku doaibmahehttehus					rakon toimintahäiriö	ráhku doaibmasegohus	njuoratmánná doaibmahehttehus	njuoratmánná doaibmahehttehus	cystavealaheapmi	raksaerohus	
blæretømming	ráhku gurren					rakon tyhjentäminen	rakon tyhjentyminen	njuoratmánná buhtisteapmi	buhtistit čáhcebohcci	cystabuđaldus	goaŧu gurren	ráhku gurret
rapportering	raporteren				raportointi	antaa raportti	raporteren	reportáša	raporteren	raporteren		
forfallstendens	goarritendeansa					rappiotaipumus		gahččandáiddu	tendeansa gahččat	njiedjanteansa	ráppiiduvvan njoammil	
rapsolje	rapsaolju					rapsiöljy		rapsaolju	rapsaolju	ráppiolju	rásseolju	
graviditetshormon	áhpehisvuohtahormona					raskaushormoni	#lossatvuohtahormona	áhpehisvuođahormona	áhpehisvuođahormona	áhpehisvuođahormon	mu áhpehisvuođa hormona	
svangerskapsforgiftning	áhpehisvuohtamirkkohus					raskausmyrkytys pre-eklampsia	#lossatvuohtamirkkohus 	preeklampsiija	ovdaeklampsiija ovdaeklampsiija	áhpehisvuođa mirkofápmu	pre-eklampsia ávnnasmirkkuid	
fettomsetning	buoiddiboaldin					rasvanpoltto	#buoidi#ávnnasmolsašuvvan	lihkuhisvuohta	njuoskkaid metabolisma	buoidesoabbi	buoidegođđin	
fettstoffskifte	vuodjaávnnasmolsašuvvan					rasva-aineenvaihdunta	#buoidi#ávnnasmolsašuvvan	njuoskkaid metabolisma	njuoskkaid metabolisma	buoidegođđin	buoidegođđin	
fettmasse	buoidemássá					rasvamassa	#buoidi#mássá	lihkuhisvuohta	lihkuhisvuohta	buoidi čoavji	buoidi	
fettinnhold	buoidemearri					rasvan määrä	buoiddi #mearri	buolašsisdoallu	lihkuhisvuođa mearri	buoidi	buoidi	
fettlager	buoiderádju					rasvavarasto	buoiderádju	fat store	lihkuhisvuođa vurken	buoiddevuorká	buoiddi vuorká	
jerntilskudd	ruovdelassi					rautalisä	ruovdelassi	ruovdeávdnasat	ruovdeávnnas	ruovdedoallu	ruovdejuvllat	
jernpreparat	ruovdebuvtta					rautavalmiste		ruovderáhkadeapmi	ruovderáhkadeapmi	ruovdedoabasiidna	ruovdeávdnasat	
kostregistreringsskjema	borramuša registrerenskovvi					ravinnon rekisteröintilomake	biebmama logahallanskovvi	goluid registrerenskovi	biebmoregistrerenskovi	golloregistrerenskovvi	borramuša registrerenskovvi	
næringsinntak	borramušávnnasiid oažžun					ravinteiden saanti	biebmama oažžun	biebmoávdnasiid sisaváldin	biebmováldin	ealáhusgaska	borramuša skáhppon	
ernæringsinntak	biepmu oažžun					ravinnonsaanti	biebmamaoažžun	biebmoávdnasiid sisaváldin	biebmováldin	biebmoávdnasat	borramušgálvu	
næringstilførsel	borramušfuolahuš					ravinnehuolto biebmamaoažžun	biebmoávdnasiid buvttadeapmi	biebmováldin	ealáhuslasáhus	borramušgálvu		
kostveiledning	borramušbagadallan					ravitsemus-ohjaus	biebmanbagadallan	biebmorávvagat	biebmorávvagat	borramušbagadus	borramušgieđahalli	
fødemiddel	biebmoávnnas					ravintoaine 	biebmanávnnas 	biebmoávnnas	biebmoávnnas	riegádahttin	borramušávnnas 	
næringsstoffanbefaling	biebmoávnnasávžžuhus					ravintoainesuositus	biebmanávnnasneavva	biebmoávdnasiid ávžžuhus	biebmoávdnasiid ávžžuhus	biebmonjuolggadus	rabanávžžuhus	
næringsdrikke	biebmojuhkamuš					ravintojuoma	biebmanjugus	biebmojuogut	biebmojuogut	biebmojuhkku	borramušgálvu	
kostfiber	biebmofiiber					ravintokuitu	biebmanfiiber	biebmofiber	biebmofiber	borramušgálvu	borramušgálvu	
ernæringstilskudd	biebmolassi					ravintolisä	biebmanlassi	biebmoávdnasat	biebmoávnnas	biebmodoarjja	biebmolasáhus	
kosttilskudd	borramušlassi, borramušdoarjja					ravitsemuslisä	biebmanlassi	biebmoruovttut	biebmoávnnas	borramušlasáhus	biebmolasáhus	
ernæringsløsning	biebmoluvvadus					ravintoliuos	biebmančuokkisčoahkku	biebmočovdosat	biebmoávdnasiid čoavddus	biebmoláđđi	borramuščoavddus	
ernæringsvæske	biebmogolggus					ravintoliuos	biebmančuokkisčoahkku	biebmoávnnas	biebmoávdnasiid čoavddus	biebmogálvu	borramuščoavddus	
næringsløsning	borramušgolggus					ravintoneste	biebmansiedja	biebmoávdnasiid čoavddus	biebmoávdnasiid čáhci	ealáhusčoavddus	borramušgálvu	
ernæringspumpe	biebmopumpa					ravintopumppu	biebmanpumpa	biebmanpumpa	biebmopumppa	biebmanpumppa	borramušgálvu	
næringsinnhold	biebmosisdoallu					ravintosisältö	biebmansisdoallu	biebmosisdoallu	biebmosisdoallu	ealáhusdoallu	biepmusráhkkanus	
kosttype	borrantiipa. borranmálletiipa					ruokavaliotyyppi, ravintotyyppi	biebmantiipa	dietnašládja	biebmošládja	borramušslája	borramušslája	
kostsirkel	biebmogierdu					ravintoympyrä	biebmangierdu	biebmobiras	biebmobiras	biebmoruoktu	borramušgiella	
risting	šluvgin					ravistelu		rievdan	rievdan	rievssatbivdu	ravkalan	
ernære	biebmat					ravita		fuolahit	fuolahit	bibmosiid	borramuš	
ernæringskartlegging	biebmankárten					ravitsemuskartoitus	biepmu evalueren biepmu kárten	biebmokárten	biebmoárvvoštallan biebmokárten	biebmogárten	biebmodoallofágalaš kárten	
kostregistrering	biepmuregistreren					ruokavalion kirjaaminen	biepmu kárten	goluid registreren	biebmokárten	golloregistreren	biebmodoallokárten	
kostholdsendring	biepmu rievdadus					ruokavalion muutos	biepmu iežáhus	biebmorievdadus	biebmoávdnasiid rievdan	biebmodoallorievdadus	borramuša rievdadeapmi	
ernæringstrapp	biepmama tráhpat					ravitsemuksen portaat	biepmu ráhpat	biebmolávdi	biebmolávkkit	biebmoroahppu	biebmanriekkis	
kostsamtale	biebmoságastallan					ravitsemuskeskustelu ruokavaliokeskustelu	biebmogulahallan	dietnasa ságastallan	biebmodigaštallan	divraságastallan	borramušságastallan	
ernæringsonde	biepmanbohcci					ravitsemusletku	biebmolággá	biebmanruovttus	biebmanruovttus	biebmogárži	borramušgálvu	
kostråd	biebmorávva					ravitsemusneuvo, ruokavalioohje	biebmoráđđi	biebmorávvagat	biebmorávvagat	borranrávvagat	rabas biepmusráva	
kostholdsveiledning	biebmorávvehus					ravitsemusneuvonta	biebmorávvehus	biebmorávvagat	biebmorávvagat	biebmodoallobagadus	dearvvašvuođarávvagat	
ernæringsproblem	biepmanváttisvuohta					ravitsemusongelma	biebmoproblema	biebmováttisvuohta	biebmováttisvuohta	biebmováttisvuohta	biepmanváttisvuohta	
ernæringsplan	biepmanplána					ravitsemussuunnitelma	biebmoplána	biebmoplána	biebmoplána	biebmoplána	biebmanplána	
energibalanse 	energiijabalánsa, energiijadássedeaddu	£				energiatasapaino	biebmobalánsa	energiijabalánsa	biebmobalánsa	energiijabalánsa	biebmodoallu	
ernæringsfysiolog	biepmanfysiologa, biebmanterapevta	£		biebmofysiologa		ravitsemusterapeutti	biebmoterapevta	biebmoáššedovdi	biebmoáššedovdi	biebmofysiologa	terapevtta biebman	
ernæringsforhold	biepmandilli					ravitsemustilanne	biebmodilli	biebmodilit	biebmodilli	biebmodilli	boradanlatnja	
ernæringsstatus	biebmanstahtus					ravitsemusstatus	biebmodilli	biebmodilli	biebmodilli	biebmodássi	boradanlatnja	
ernæringstilstand	biebmandilli					ravitsemustila	biebmodilli	biebmodilli	biebmodilli	biebmodilli	boradanlatnja	
ernæringsarbeid	biepmanbargu					ravitsemustyö	biebmobargu	biebmobargu	biebmobargu	lea biebmanbargu	biebmanbargu	
næringssammensetning	biebmočoahkkádus					ravinnekoostumus ravinnon koostumus	biebmokombinašuvdna	biebmoávdnasiid sisdoallu	biebmoávdnasiid kombinašuvdna	ealáhusčoahkkádus	borramušslája	
